make,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinder,engine-size,fuel-system,horsepower,peak-rpm,city-mpg,highway-mpg,price
mercedes-benz,gas,two,hardtop,rwd,front,112,199.2,72,55.4,3715,ohcv,eight,304,mpfi,184,4500,14,16,45400
bmw,gas,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,182,5400,16,22,41315
mercedes-benz,gas,four,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,184,4500,14,16,40960
porsche,gas,two,convertible,rwd,rear,89.5,168.9,65,51.6,2800,ohcf,six,194,mpfi,208,5900,17,25,37028
bmw,gas,four,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,six,209,mpfi,182,5400,15,20,36880
jaguar,gas,two,sedan,rwd,front,102,191.7,70.6,47.8,3950,ohcv,twelve,326,mpfi,262,5000,13,17,36000
jaguar,gas,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,176,-4750,15,19,35550
mercedes-benz,gas,two,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,155,4750,16,18,35056
mercedes-benz,gas,four,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,155,4750,16,18,34184
porsche,gas,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,194,mpfi,207,5900,17,25,34028
porsche,gas,two,hardtop,rwd,rear,89.5,168.9,65,51.6,2756,ohcf,six,194,mpfi,207,5900,17,25,32528
jaguar,gas,four,sedan,rwd,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,176,4750,15,19,32250
mercedes-benz,diesel,four,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,123,4350,22,25,31600
bmw,gas,four,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,six,209,mpfi,182,5400,16,22,30760
mercedes-benz,diesel,four,wagon,rwd,front,110,190.9,70.3,58.7,3750,ohc,five,183,idi,123,4350,22,25,28248
mercedes-benz,diesel,two,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,123,4350,22,25,28176
mercedes-benz,diesel,four,sedan,rwd,front,110,190.9,70.3,56.5,3515,ohc,five,183,idi,123,4350,22,25,25552
bmw,gas,four,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,six,164,mpfi,121,4250,20,25,24565
audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,140,5500,17,20,23875
volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,114,5400,19,25,22625
volvo,diesel,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,106,4800,26,27,22470
porsche,gas,two,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,143,5500,19,27,22018
volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,134,5500,18,23,21485
bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,121,4250,21,28,21105
bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,121,4250,21,28,20970
nissan,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,200,5200,17,23,19699
volvo,gas,four,sedan,rwd,front,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,160,5300,19,25,19045
volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,162,5100,17,22,18950
audi,gas,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,110,5500,19,25,18920
saab,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,160,5500,19,26,18620
volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,162,5100,17,22,18420
nissan,gas,two,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,160,5200,19,25,18399
mazda,diesel,four,sedan,rwd,front,104.9,175,66.1,54.4,2700,ohc,four,134,idi,72,4200,31,39,18344
mazda,gas,four,sedan,rwd,front,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,120,5000,19,27,18280
saab,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,160,5500,19,26,18150
peugot,gas,four,sedan,rwd,front,108,186.7,68.3,56,3130,l,four,134,mpfi,142,5600,18,24,18150
peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,95,4150,28,33,17950
audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,110,5500,19,25,17710
toyota,gas,two,convertible,rwd,front,98.4,176.2,65.6,53,2975,ohc,four,146,mpfi,116,4800,24,30,17669
audi,gas,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,115,5500,18,22,17450
nissan,gas,two,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,160,5200,19,25,17199
peugot,diesel,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,95,4150,25,25,17075
bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,101,5800,23,29,16925
peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,95,4150,28,33,16900
volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,114,5400,23,28,16845
peugot,gas,four,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,95,5000,19,24,16695
peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,97,5000,19,24,16630
toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52,2976,dohc,six,171,mpfi,161,5200,20,24,16558
volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,114,5400,24,28,16515
mercury,gas,two,hatchback,rwd,front,102.7,178.4,68,54.8,2910,ohc,four,140,mpfi,175,5000,19,24,16503
alfa-romero,gas,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,154,5000,19,26,16500
alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,111,5000,21,27,16500
bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,101,5800,23,29,16430
toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,52,3016,dohc,six,171,mpfi,161,5200,19,24,15998
volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,114,5400,24,28,15985
toyota,gas,four,wagon,rwd,front,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,156,5200,19,24,15750
toyota,gas,four,sedan,rwd,front,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,156,5200,20,24,15690
mazda,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2500,rotor,two,80,mpfi,135,6000,16,23,15645
peugot,gas,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,95,5000,19,24,15580
saab,gas,four,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,110,5250,21,28,15510
audi,gas,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,110,5500,19,25,15250
saab,gas,two,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,110,5250,21,28,15040
mitsubishi,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,145,5000,19,24,14869
mitsubishi,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,145,5000,19,24,14489
nissan,gas,four,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,152,5200,17,22,14399
audi,gas,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,102,5500,24,30,13950
peugot,diesel,four,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,95,4150,25,25,13860
volkswagen,diesel,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,68,4500,33,38,13845
mazda,gas,two,hatchback,rwd,front,95.3,169,65.7,49.6,2385,rotor,two,70,4bbl,101,6000,17,23,13645
nissan,gas,four,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,152,5200,17,22,13499
nissan,gas,four,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,152,5200,19,25,13499
alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,111,5000,21,27,13495
volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,114,5400,23,28,13415
volkswagen,gas,four,sedan,fwd,front,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,110,5500,19,24,13295
peugot,diesel,four,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,95,4150,28,33,13200
dodge,gas,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,four,156,mfi,145,5000,19,24,12964
honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,101,5800,24,28,12945
